사용일자,노선명,역명,승차총승객수,하차총승객수
20220106,3호선,연신내,34942,33309
20220106,3호선,불광,15651,16747
20220106,3호선,녹번,15192,13963
20220106,3호선,홍제,16423,15658
20220106,3호선,무악재,3743,3853
20220106,3호선,독립문,6342,6450
20220106,3호선,경복궁(정부서울청사),18675,18368
20220106,3호선,안국,18543,19211
20220106,3호선,종로3가,9974,11284
20220106,3호선,을지로3가,10514,10701
20220106,3호선,동대입구,7116,7338
20220106,3호선,약수,12450,12059
20220106,3호선,금호,7756,7492
20220106,3호선,옥수,8620,9031
20220106,3호선,압구정,32248,34101
20220106,3호선,신사,31647,32750
20220106,3호선,잠원,4566,4469
20220106,3호선,고속터미널,37030,35434
20220106,3호선,교대(법원.검찰청),13835,9114
20220106,3호선,남부터미널(예술의전당),27999,28525
20220106,3호선,양재(서초구청),38112,41435
20220106,3호선,매봉,12738,12291
20220106,3호선,도곡,5198,5325
20220106,3호선,대치,11531,11403
20220106,3호선,학여울,1754,1818
20220106,3호선,대청,9964,9375
20220106,3호선,일원,10293,10055
20220106,3호선,수서,16288,16714
20220106,3호선,가락시장,8922,8503
20220106,3호선,경찰병원,7226,7419
20220106,3호선,오금,6151,5569
20220106,4호선,수유(강북구청),32339,32611
20220106,4호선,미아(서울사이버대학),14049,13718
20220106,4호선,미아사거리,26262,25624
20220106,4호선,길음,19734,19234
20220106,4호선,성신여대입구(돈암),18785,18085
20220106,4호선,한성대입구(삼선교),12166,12002
20220106,4호선,혜화,31412,31451
20220106,4호선,동대문,19087,19146
20220106,4호선,동대문역사문화공원(DDP),14336,13078
20220106,4호선,충무로,25149,26180
20220106,4호선,명동,17458,18050
20220106,4호선,회현(남대문시장),24075,25419
20220106,4호선,서울역,10702,15245
20220106,4호선,숙대입구(갈월),12026,11595
20220106,4호선,삼각지,4927,5320
20220106,4호선,신용산,16282,17089
20220106,4호선,이촌(국립중앙박물관),7012,7708
20220106,4호선,동작(현충원),1368,1589
20220106,4호선,총신대입구(이수),18184,19517
20220106,4호선,사당,24095,19898
